brand_name,website,contact_name,contact_email,segment,notes
Snitch,https://www.snitch.co.in,,,Enterprise Priority India,Founder-priority enterprise track account
Myntra,https://www.myntra.com,,,Enterprise India Marketplace,Large marketplace motion
AJIO,https://www.ajio.com,,,Enterprise India Marketplace,Large marketplace motion
Nykaa Fashion,https://www.nykaafashion.com,,,Enterprise India Platform,Large platform motion
Tata CLiQ Fashion,https://www.tatacliq.com,,,Enterprise India Marketplace,Large platform motion
Amazon Fashion,https://www.amazon.com/fashion,,,Enterprise Global Marketplace,High complexity enterprise motion
Flipkart Fashion,https://www.flipkart.com/fashion,,,Enterprise India Marketplace,High complexity enterprise motion
Zara,https://www.zara.com,,,Enterprise Global Retail,Multi-country enterprise motion
H&M,https://www2.hm.com,,,Enterprise Global Retail,Multi-country enterprise motion
Uniqlo,https://www.uniqlo.com,,,Enterprise Global Retail,Multi-country enterprise motion
Mango,https://shop.mango.com,,,Enterprise Global Retail,Multi-country enterprise motion
ASOS,https://www.asos.com,,,Enterprise Global Ecommerce,Public company scale indicators
Zalando,https://www.zalando.com,,,Enterprise Global Ecommerce,Large multi-market platform
Farfetch,https://www.farfetch.com,,,Enterprise Global Luxury Marketplace,Large multi-partner marketplace
About You,https://www.aboutyou.com,,,Enterprise Global Ecommerce,Large multi-brand platform
Boozt,https://www.boozt.com,,,Enterprise Nordic Ecommerce,Public-company scale indicators
SHEIN,https://www.shein.com,,,Enterprise Global Fast Fashion,Large global scale motion
Nordstrom,https://www.nordstrom.com,,,Enterprise US Retail,Department-store enterprise motion
Macy's,https://www.macys.com,,,Enterprise US Retail,Department-store enterprise motion
Selfridges,https://www.selfridges.com,,,Enterprise UK Retail,Premium retail enterprise motion
Saks Fifth Avenue,https://www.saksfifthavenue.com,,,Enterprise US Luxury Retail,Premium enterprise motion
REVOLVE,https://www.revolve.com,,,Enterprise Premium Ecommerce,Large premium ecommerce motion
